Style,Category,Artist,Title,Image URL,Art (image+title): agreeableness,Art (image+title): anger,Art (image+title): anticipation,Art (image+title): arrogance,Art (image+title): disagreeableness,Art (image+title): disgust,Art (image+title): fear,Art (image+title): gratitude,Art (image+title): happiness,Art (image+title): humility,Art (image+title): love,Art (image+title): optimism,Art (image+title): pessimism,Art (image+title): regret,Art (image+title): sadness,Art (image+title): shame,Art (image+title): shyness,Art (image+title): surprise,Art (image+title): trust,Art (image+title): neutral,ImageOnly: agreeableness,ImageOnly: anger,ImageOnly: anticipation,ImageOnly: arrogance,ImageOnly: disagreeableness,ImageOnly: disgust,ImageOnly: fear,ImageOnly: gratitude,ImageOnly: happiness,ImageOnly: humility,ImageOnly: love,ImageOnly: optimism,ImageOnly: pessimism,ImageOnly: regret,ImageOnly: sadness,ImageOnly: shame,ImageOnly: shyness,ImageOnly: surprise,ImageOnly: trust,ImageOnly: neutral,TitleOnly: agreeableness,TitleOnly: anger,TitleOnly: anticipation,TitleOnly: arrogance,TitleOnly: disagreeableness,TitleOnly: disgust,TitleOnly: fear,TitleOnly: gratitude,TitleOnly: happiness,TitleOnly: humility,TitleOnly: love,TitleOnly: optimism,TitleOnly: pessimism,TitleOnly: regret,TitleOnly: sadness,TitleOnly: shame,TitleOnly: shyness,TitleOnly: surprise,TitleOnly: trust,TitleOnly: neutral
Modern Art,Impressionism,Charles Courtney Curran,In the Luxembourg Garden,https://uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg,0.036,0.012,0.071,0.012,0.012,0,0.036,0.131,0.75,0.357,0.357,0.333,0.048,0.024,0.131,0,0.012,0.048,0.274,0,0.06,0.012,0.071,0.024,0.012,0,0.012,0.119,0.726,0.369,0.25,0.274,0.012,0,0.131,0,0.024,0.024,0.25,0,0.06,0.012,0.179,0,0.012,0.012,0,0.107,0.714,0.19,0.155,0.238,0.024,0.012,0.024,0.012,0,0.048,0.155,0
Modern Art,Neo-Expressionism,Keith Haring,The Marriage of Heaven and Hell,https://uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg,0,0,0.5,0,0.4,0.1,0.3,0,0.1,0,0.1,0.1,0.2,0.1,0.1,0,0,0.5,0.1,0,0,0,0.1,0,0,0.1,0.3,0,0.1,0.1,0,0.2,0.2,0.1,0.2,0,0,0.5,0,0,0,0,0.6,0,0.3,0,0.2,0,0.3,0,0.2,0,0.1,0,0,0,0,0.2,0,0
Modern Art,Post-Impressionism,Jozsef Rippl-Ronai,Uncle Piacsek in front of the Black Sideboard,https://uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,0,0,0.2,0,0,0,0,0,0.5,0.5,0,0.3,0,0,0,0,0,0.1,0.3,0,0,0,0.2,0,0,0,0,0.1,0.5,0.3,0,0.3,0,0,0,0,0,0.1,0.2,0,0,0,0.6,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0,0,0.1,0.1,0
Modern Art,Cubism,Vadym Meller,Monk. For the Play &#39;Mazeppa&#39;,https://uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg,0,0,0.091,0,0,0.091,0.091,0,0.091,0.182,0,0.091,0.091,0.091,0.273,0,0.091,0.182,0,0,0,0,0.091,0,0,0.091,0,0,0.091,0.091,0,0,0.182,0,0.364,0,0,0.273,0,0,0,0,0.273,0,0,0,0,0,0.091,0.364,0.091,0.091,0,0,0.091,0,0.091,0.182,0.091,0
Post Renaissance Art,Romanticism,David Wilkie,The Defence of Sarago&#231;a,https://uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg,0.077,0.231,0.154,0.231,0.308,0.231,0.308,0.154,0.154,0.077,0.077,0.231,0.154,0.154,0.231,0.154,0.077,0.077,0.538,0,0.077,0.077,0.077,0.231,0.308,0.308,0.308,0.231,0.154,0.077,0.077,0.231,0.231,0.077,0.231,0.154,0.077,0.154,0.231,0,0.154,0.308,0.231,0.077,0.308,0.077,0.231,0.077,0.077,0.154,0.077,0.231,0.077,0.077,0.154,0.077,0.077,0.154,0.385,0
Modern Art,Expressionism,Lyonel Feininger,"In a Village Near Paris (Street in Paris, Pink Sky)",https://uploads4.wikiart.org/images/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg,0.045,0,0.134,0.045,0.03,0.03,0.134,0.03,0.358,0.328,0.104,0.134,0.104,0.03,0.09,0.015,0.015,0.224,0.09,0,0.045,0,0.149,0.015,0.03,0.045,0.164,0.03,0.284,0.194,0.015,0.134,0.06,0.03,0.119,0.03,0,0.299,0.06,0,0.045,0,0.209,0.015,0,0,0.03,0.045,0.463,0.373,0.075,0.164,0,0.015,0.03,0,0.03,0.045,0.104,0.03
Post Renaissance Art,Realism,Nikolai Ge,Last Supper,https://uploads1.wikiart.org/images/nikolai-ge/last-supper.jpg,0,0,0.1,0.1,0,0,0.6,0,0.1,0.3,0,0,0.1,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0.7,0,0.1,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.2,0.5,0,0,0.1,0,0.3,0,0,0,0.2,0
Post Renaissance Art,Realism,Charles-Francois Daubigny,Spring,https://uploads7.wikiart.org/images/charles-francois-daubigny/spring-1857.jpg,0,0,0,0,0,0,0,0.1,0.7,0.4,0.1,0.4,0.1,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0.1,0.8,0.5,0.1,0.2,0,0.1,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0.1,0.1,0.7,0.1,0.1,0.1,0,0.1,0,0,0,0,0.1,0.1
Contemporary Art,Minimalism,Robert Smithson,Mirror and Crushed Shells,https://uploads7.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg,0,0,0.417,0,0.083,0.083,0.083,0,0,0.167,0.083,0,0.083,0.083,0.167,0,0,0.5,0,0.083,0.083,0.083,0.333,0,0,0.083,0,0.083,0,0.083,0,0,0.083,0,0,0.083,0,0.5,0,0.083,0.083,0.167,0.25,0,0.083,0.167,0.25,0.083,0,0.083,0,0,0.333,0,0.167,0,0,0.167,0,0
Contemporary Art,Minimalism,Richard Serra,One Ton Prop (House of Cards),https://uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.4,0,0.1,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0.6,0,0.2,0,0,0.3,0,0.1,0.1,0,0,0.2,0.2,0,0,0,0,0,0,0,0.1,0,0.1
